reviews,Fine-grained sentiment score,review_category
  It is working fast and it is best in low rate and 1to2days stand able battery because if we worked hard it standard on 1day if you prefer low work it will standard 2days and system updating fun touch os will stand this phone to a longer life and about camera quality it's front camera is really awesome and selfie camera is best. For simple users  this phone works very because it is a Indian brand. So it is best.,0.9581,positive
  i got this for 8k. look wise its grt. display n face recognition s cool. you cn def go fa this. as usual amazon was prompt with d delivery..,0.7269,positive
"  Screen quality & battwry are very good, but picture quality is very bad.",-0.624,negative
  Sometimes automatically ring when phone is not my hand . Phone hearing quality is not good . Sometimes it becomes hang. Oh what a wrong decision that  lbought this phone.,-0.7983,negative
"  Battery, Camera overall performance is good.Sometimes get heated during use. I am using for 2/3 months. The set got hanghed thrice during my use.",0,positive
  Excellent phone at this cost. Touch is extremely smooth. Highly recommended. Only issue in opening shortcut from home screen. I love phones having shortcut keys on top instead of bottom as in bottom there are other keys as well and when you try to open shortcut it opens something else.,0.921,positive
"  Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) Is A Excellent Product And Battery Life Is Also Very Awesome & Camera Quality Is Also Very Excellent.",0.9199,positive
"  In such a Price segment...a decent product for moderate users who use smartphones for just light entertainment purpose, mailing, Whatsapp ,net surfing, the, etc. battery takes a very long time to full charge, but backup is very good.",0.7343,positive
  Good battery backupChamera quality not so good but ok,0.4821,positive
  Overall it worth and value for money as within affordable budgeted segment.Camera quality a bit low as not what to be expected. But overall performance wise best  deal.,0.9109,positive
"  the display is not ips panel...colours and viewing angles are not up to mark.camera performs poor too...may be because the screen displays poor contrast ...the overall result and answer is no to this.go for other options Redmi 7 , realme C2 in this price bracket",-0.8126,negative
  Phone is very good at this range only problem is slow charging.  If they have provided finger print then it will of more worthy.  But it's really good at this range.,0.7672,positive
  Nice piece,0.4215,positive
  Great product @ Very economical price.,0.6249,positive
  Good for camera but overall performance wise work for daily life style with just calling n normal fb insta use but for watching movie or games would recommend for another phone due to graphics quality and screen,0.8537,positive
  Love this one,0.6369,positive
  Very poor processor. Most of d time mobile is in hang cond. Very poor quality pbone.,-0.7774,negative
"  This Phone is Worst that I ever had till now, it keeps switched off for every one hour and phone is not updating at all.  DONT Ever buy from this seller. I don't like to give that one star rating also, but an option to give this feedback review I have to give that one star which I don't like to give.ThanksRaji",-0.6975,negative
  Best phone for battery and camera,0.6369,positive
"  My sister is using this mobile,Mobile is not working since 10 days,no voice is recognized to caller or receiver,not value for money,kindly send service centre details at Gandhidham(Gujarat)",0.34,positive
  it is ok value for money working also good I purchased last month working smoothly as of know,0.7579,positive
  Good phone in the price range,0.4404,positive
  It's a nice mobile phone with awspme display and good functions.It has a very good camera and the mobile performance is amazing.I am very pleased to used vivo Y91.It's performance of ram is good and the looks of thos phone is so amazing.It has a better bettery performance.,0.9508,positive
"  Battery life is superb, camera quality is ok within the budget it's a good deal to go for. Only challenge with my phone is speaker sometimes doesn't work dont know why but yes facing only this challenge. Headphones missing not sure if it's a part of general kit or not as per listing.",0.6273,positive
"  Thank's to amazon very easy exchange process. Where flipcart is doing too much drama for exchange. Also the mobile is very good seal pack box i recived ,everything is fine.",0.8354,positive
"  There is no option for finger print reader apart from that Accessability, camera, face recognition, interfacing between apps seems good. I love the phone",0.7096,positive
  Overall the product is good...Functions very well without any pause. Touch is good. camera quality is also good.However it takes around 2 hours to completely charge. Fast charging would have made it better. Worth product by Vivo under such range,0.8439,positive
  Everything is wrong in this. Totally I'm disappointed 😔😔☹️,-0.7914,negative
  Please Don't Buy 2gb Variant It's Very Lagging It Need For Just Using You Can Buy 2gb Variant For Gaming It's Crashing In the First Week It's Good But After Two Weeks It's Very Lagging And Auto Exit Waste Of My Money It's Not Exchanging 😭😭 For Gaming Go For 3Gb Variant,-0.7721,negative
  There is no ear phone in the vivo box only phone and charger is there. There is no ear phone lead in the vivo box.,-0.5267,negative
  Best mobile,0.6369,positive
  Good,0.4404,positive
  Nice,0.4215,positive
  Nice product,0.4215,positive
  best mobile and good battery backup camera quality just poor.finger print reader option no theire,0.7096,positive
  i bought this decive for my dad and its awesome device...its display is very impressive and camera quality is also good at this price range and i also get good value of my old device in exchange offer overall good for moderate users,0.9571,positive
  Value for money camera quality is good battery ok Screen quality is good,0.8555,positive
  Vivo y91i is not good battery charging very slow and down very fast.,-0.3412,negative
"  Display quality is super, camera I am not much sure. But overall good product in this price range",0.7021,positive
  Super,0.5994,positive
  Battery charge issue ....it's too slowly nd I complains your customers care executive but not responded yet,0.0772,positive
"  The Product Description mentioned it has a fingerprint sensor, but it does not contains any Finger Print Sensor, Wrong Description",-0.631,negative
"  Hi Made a mistake by buying this mobile many more issue with it while charging taking longer, camera quality is not good etc...",-0.5867,negative
  Prouuct was factory pack & highly satisfied with quality of product on recipt &  delivaryNo problem was observed,0.101,positive
  Good one,0.4404,positive
"  Battery life is amazing, looks are beautiful in this price the best buy. I was using iphone earlier, found most of the features there in my VIVO.",0.9169,positive
  Third class phoneCamera is very bad . Speaker sound is very third class. Not better than red mi or oppo,-0.7351,negative
  Charger is very slow. Takes more than 3 hours to charge the phone fully. Abd display is not crisp.,0,positive
  Good product,0.4404,positive
  Not a bad choice in this price segment,0.431,positive
  *No finger print unlock available in this device.*Camera quality is average.*Battery life is good.*Face unlock is qutie good.*,0.4404,positive
  Product has issue and I want to return but amazon arrange trouble shooting.That technician found issue but still I am not able to return,-0.3291,negative
  It's good. Decent battery life and camera quality is fine.,0.5719,positive
  I have given 4star because the mobile is hanging with a continuous use of just half an hourI hope may be the RAM above this will be goodThe 📸 quality is good....,0.7003,positive
  I found the quality and performance is quite good.Photos taken by this phone’s camera is superb. Overall performance is satisfactory. This is really agood phone.,0.765,positive
  Changing is slow but after three month mobile performence is too poor every time hangings issue worst mobile I request to amazon please exchange my mobile if possible.,-0.7783,negative
  Value for money & good battery life,0.6486,positive
  Nice,0.4215,positive
"  feeling nice with vivo and amazon, tq u",0.6124,positive
  Super Mobile at 8k price. Everything is ok. But it doesn't have finger print reader has it mentioned in the product description. Happy with this product.,0.8176,positive
  I purchase this phone from the amazon around one year ago. It is very good in use. no complain am happy this product thank you so much amazon.,0.9214,positive
  This mobile phone talking time evry call very cojection not completely talking,0,positive
  Worth every penny. Color is devine. Loved the phone a lot must buy in this price range. Thank you amazon,0.8402,positive
  This is very good phone in this budget...what a great performance...I am reviewing after use of one day full time I don't give me rest..but still its performance very good.....,0.8882,positive
  Nice one,0.4215,positive
  Just 5 days after using software problem and charging issues..,-0.4019,negative
"  Good phone, worth for price.  I suggest to buy this one because basically all the smartphone life is maximum 3 to 4 years.. So it's a good one for the cost",0.7884,positive
"  good , value for moneny.",0.6486,positive
  Like,0.3612,positive
  The phone works so far its only a few months i have it. The delivery from Amazon met expectations.,0.1779,positive
  Good phone at this price,0.4404,positive
  Happy with the overall build and performance of this phone.. No unwanted advertisement notifications which you get in MI phones..so great budget phone which is made in India too.,0.8579,positive
  nice phone for that cost. but camera quality is not fine. picture editing IS not good. calls are automatically going to off after 6 rings.i am supposed to give missed calls only,-0.7093,negative
  Looking awesome but sometime the earpeice are Not working,0.3716,positive
  Not bad mobile some problem for comeingBattary life oral and incomming call problem in this mobile . So are you want purchase this mobile my advice for choose for another mobile .,-0.2468,negative
  Bad,-0.5423,negative
  Its suits for basic usersIt takes more time to charging the batteryCamera quality OkQuality is good at this price,0.4404,positive
  In low price vivo is giving better product and functionality except processor and camera. All over product for daily use except heavy gaming and high quality photos is good.,0.7269,positive
  Good quwality,0.4404,positive
  NICE MUST BUY....,0.4215,positive
  Don't have fingerprint reader,0,positive
  Thanks again,0.4404,positive
  Very slow charging.Distorted sounds coming from speaker camera picture quality is poorVery disappointed  all over,-0.4767,negative
  I purchased the device in previous month. It is working perfectly. No problem at all,0.7549,positive
"  I tell I this product nice but battery backup is not strong, battery backup is very poorSo .I thing please battery update please",0.5018,positive
  Good enough with price,0.4404,positive
  Very Nice...,0.4754,positive
  Flashlight not better,-0.3412,negative
  This phone was not earohone given to me so please ap logo yh packing mea earphones show krte h but felviry nhi krtr,0.249,positive
  Gmxlhcl,0,positive
  Good phone under 7000 rs.,0.4404,positive
  Fully satisfied with the product,0.4754,positive
  Superb phone...,0.6249,positive
  Very  Good  mobileTemperature remains  coolNot  like  Samsung  m21Whose  temperature  gets  🔥  Hot  in 10minute  usage,0.5095,positive
  Good,0.4404,positive
  Good,0.4404,positive
"  Camera clarity is low, and face detection was not working in low light",0.343,positive
  Item is good but I had to give the full amount to my bank where I purchased it in 6 months EMI scheme..... My Bank said my merchandise has not given any references,0.2382,positive
  Product lags a lot,-0.3612,negative
  Charging not working properlyIt takes 3 to 4 hours getting full charged,-0.2023,negative
  Good products,0.4404,positive
  Good  product,0.4404,positive
  Product is very bad and it's display got spoilt within 6 months and we are not happy about the product,-0.7777,negative
  Good,0.4404,positive
  Good,0.4404,positive
  Fingerprint is not there as told by you,0,positive
"  Nice product, n nicely packaged .I m satisfied according  to it's  range",0.8176,positive
  Price is high and no more extra quality than other some budget.other company make best phone in low budget of vivo .so im not satisfied to this phone sorry.,-0.1857,negative
  Happy with the exchange offer. Phone is good model and suitable for regular usage.,0.765,positive
  Good,0.4404,positive
  Gud product,0,positive
  Overall it's a great cell phone only thing I miss in it that there is no finger print scanner in it. Overall it's a great deal. Value for money.,0.8316,positive
  Best product in this priceCamera quality is good,0.7964,positive
  Bad product.  It has lot of quality issues. Dont buy,-0.5423,negative
  Good product,0.4404,positive
  Value for money,0.34,positive
  Like it,0.3612,positive
  Sama mibile,0,positive
  Got the defect piece and return period is over when we realized and want to return this item so please let me know how to process for return this item.,0.2243,positive
  I got this phone on 15 August and today 24 August it is not charging and got switched off after power off at 30% battery.Very disgusting product,-0.5267,negative
  good,0.4404,positive
"  Looking very good. Camera average. Fingerprint not available. Charging very very slow, approx charging time 3 n half hour.",0.4927,positive
  I like,0.3612,positive
  Nice Mobile,0.4215,positive
  Good,0.4404,positive
  Bettery,0,positive
  Overall happy with what I got in the price,0.5719,positive
  Worth full product impressive,0.6369,positive
  I like the shape and camera of cell phone but it doesn't have finger sensor which is essentiol now a days.,0.1901,positive
  More options are avail under this price.Voice quality is not good .Sometimes it got hangged.Battery is good.,0.1265,positive
  Its good budget and friendly mobile with limited nd good design nd specificationsRecomend forTeenegrs/aged peoples,0.7964,positive
  Ok,0.296,positive
  No fingerprint availableCamera is not very exceptionalLight in weight and handy to use.,-0.296,negative
  Good one,0.4404,positive
  Good product,0.4404,positive
  The product is useful for grandparents.The product that I received is very good and there were no defects.I recommend to buy it.,0.4182,positive
  Good....... Value for money.....,0.6486,positive
  Creg,0,positive
  Its awesome thanks amazon,0.8271,positive
  Nice,0.4215,positive
  Good product,0.4404,positive
  Looks nice,0.4215,positive
  Nice product,0.4215,positive
  Good quality,0.4404,positive
  Amazing,0.5859,positive
  Super,0.5994,positive
  Fingerprint reader is too  slow and  hang  sometime. Front  camera is  not  clear  as I think. Bettery  life is good.,0.1818,positive
  Good item,0.4404,positive
  Super Quality with in the same range of phone.All are good. You can proceed without hesitation.,0.8231,positive
  Not best but good,-0.6478,negative
  Nice phone in budget  price,0.4215,positive
"  Dyamej sreen,screen quality.....  Line",0,positive
  Good Product,0.4404,positive
  Very nice and colour is very beautyfulAnd nice.,0.7328,positive
  Good,0.4404,positive
  good and value for money i had reviewed on youtube,0.6486,positive
  Good product in this prize range.,0.7766,positive
"  There is no finger print onto it also battery charges very slowww, not as expected😐Camera quality is excellent though.",0.1027,positive
  Good,0.4404,positive
"  Nice Product, I got at 7K So Considering price range this was good buy,Little disappointed by missing fingerprint reader.",0.1027,positive
  Good,0.4404,positive
  Good,0.4404,positive
  I don't like this phone camera quality is 0 I want replace my order urgentlyCustomer care number Na..What is this.,0.3999,positive
  Good,0.4404,positive
  Useful for office goers battery really good,0.7264,positive
  Nice,0.4215,positive
  All over good,0.4404,positive
  very good qlty,0.4927,positive
  My phone is very good nice and very sexy,0.8739,positive
  Very slim n handy so loved it,0.7177,positive
  Good,0.4404,positive
  It's good phone battery backup is very good,0.7264,positive
  Good 📱 at this price,0.4404,positive
  Gud,0,positive
  I received cover but the phone is missing now. Not sure how many days I should wait for the replacement,-0.642,negative
  Value for money,0.34,positive
  Very nice productsWonderful products,0.4754,positive
  Good camera quality and value for money,0.6486,positive
  Budget phone in this price,0,positive
  No fingerprints,-0.296,negative
  Mobile looks awesome. Everything is fine within that budget 😊,0.8979,positive
  Product is very poor in quality. Internet surfing is very slow like 2G phone. Amazon also cheating in return policy.,-0.5446,negative
"  no battery backup, even 100MB phone game also don't work properly.hanging problem, i never suggest this phone.",0.015,positive
  very bad my monney lost😭😭😭😭😭😭,-0.9741,negative
  Packaging during shipping/delivery can be improved...worthy mobile..easy to use..!!,0,positive
  Good quality mobile,0.4404,positive
  Very good,0.4927,positive
  I got it in Rs.6400 exchange offer,0,positive
  Good quality,0.4404,positive
  Beautiful phone,0.5994,positive
  Good product in 8000 .Rough and tough phone.Some time got some hanged problem otherwise good product.,0.3818,positive
  Ok,0.296,positive
  Overall value  for money,0.34,positive
  Its osm...,0,positive
"  Best ever , camera, screen quality is superb than other mobile.",0.8519,positive
  Camera is not good,-0.3412,negative
  Good phone,0.4404,positive
  Nice,0.4215,positive
   Good mobile,0.4404,positive
  Very nice,0.4754,positive
  Takes long time to charge rest okay,0.2263,positive
  Nice,0.4215,positive
  Mobile doesn't grt charged Voice quality not good very very poor performance,-0.6689,negative
  Ok,0.296,positive
  Often lags. Camera is taking too long to capture. Overall very slow mobile. I would not recommend to anyone.,-0.5588,negative
  Battery Is Good,0.4404,positive
  front camera is patheticBattery life is also poor.Back camera is okay but not really up to mark,0.1154,positive
  Nice at this price..... All the very best to the entire team of Amazon....,0.8399,positive
  Buy for fatherBest mobile at this prize,0.596,positive
  Very good  go for it,0.4927,positive
  Good,0.4404,positive
  Display is good,0.4404,positive
  Buttery charging didn't like.not fast charging.rest all fine.size is very very comfortable. User friendly,0.8092,positive
  Color is awesome and features are also too good.. camera quality is nice but u can make touch much better,0.85,positive
  Not up to mark camera quality is not good and slow changing.....bad experience vivo..,-0.3412,negative
  Superb. Mind blowing peoduct,0.6249,positive
  Very nice,0.4754,positive
  Super item,0.5994,positive
  Like,0.3612,positive
  Best in this price...,0.6369,positive
  Thx,0.3612,positive
  It's up to the acceptable level...,0.3182,positive
  Product is valued for money,0.4404,positive
  Overall nice mobile with all advanced features.,0.5859,positive
  Its ok,0.296,positive
  Good for this rate range...,0.4404,positive
  Dot,0,positive
  All about about quality and product  happy costumer Thank you amazon,0.7845,positive
  It is good. Cheap and best,0.7964,positive
  good,0.4404,positive
  Good phone,0.4404,positive
  Battery is very good.nice phone in this price range.,0,positive
  Good,0.4404,positive
  good but camera quality not so good,-0.4754,negative
  VIVO always superb in all segmentThis one is ultimate superb,0.8481,positive
  Very nice battery life is good,0.7178,positive
  V nice,0.4215,positive
  Good normal use ok super,0.8402,positive
  Average,0,positive
  fingerprint option is not there...,0,positive
"  Till now it is doing well, As a costumer I am satisfied with the product",0.5994,positive
"  Very Poor performance. Don't buy it. In this price, you can much2 better mobile.",-0.1263,negative
  Very good phone.. Good camera,0.7474,positive
  Nice product..,0.4215,positive
  Very nice product. All features are good. Delivered within 3 three days. Really awesome product.,0.8856,positive
  Phone is good,0.4404,positive
  As value is good phone,0.6486,positive
  Good,0.4404,positive
  Not value for the money,-0.2584,negative
"  The best phone under Rs.8000.00 with good camera,battery life.",0.7964,positive
  Good one in the lowest price this phone has many more features and good battery backup,0.5367,positive
  Nice product,0.4215,positive
  Best price & best quality,0.8555,positive
  Gud mobail,0,positive
  Good and looks great in the price range comparison to others.,0.7906,positive
  Battery not good...and process is slow,0,positive
  Value for money,0.34,positive
  I bought this mobile for my mum and my 1st impression was wow,0.6908,positive
  Very good product but headphone not there,0.2724,positive
  Good value for money,0.6486,positive
  Good,0.4404,positive
  Nice,0.4215,positive
  Value for money.,0.34,positive
  Excellent,0.5719,positive
  Average price,0,positive
  Nice phone,0.4215,positive
  Camera quality not good,-0.3412,negative
  Satisfy,0.4588,positive
  Good,0.4404,positive
  Nice phone in budjet,0.4215,positive
  Super,0.5994,positive
  Goof,0,positive
  Very nice vivo y91i,0.4754,positive
  Very good,0.4927,positive
  Like,0.3612,positive
  Doesn't come damagedVery happy and value for money,-0.1526,negative
  Not bad,0.431,positive
  Good quality,0.4404,positive
  Its very nice product with low cost I really like it😀😍😍,0.9109,positive
  Good product,0.4404,positive
  Its really amazing phone its also budget phone,0.624,positive
  Nice mobile .this phone friendly use and best price with good quality.Thank you,0.9201,positive
  There is no finger print reader,-0.296,negative
  screen quality is bestso powerful batteryand camera are good  this price,0.6908,positive
  Good,0.4404,positive
  Nice Working For amazon,0.5423,positive
  Camera is not very good battery life is better and screen quality is best..,0.6681,positive
  Good,0.4404,positive
  Nice,0.4215,positive
  Everything is best but battery life is very low. And there no Fingerprint on mobile,-0.5089,negative
  Good,0.4404,positive
  100 out off 100,0,positive
  Ok,0.296,positive
  Ok,0.296,positive
  ✌️,0,positive
  Good Phone,0.4404,positive
  The mobile camera quality is very nice and game space is also good,0.7178,positive
  Good,0.4404,positive
"  No camera cleraity battery full charge take time of 5hours, don't buy this product",-0.296,negative
  This ohone has very good battery life,0.4927,positive
  Great mobile to gift someone,0.7906,positive
  Good,0.4404,positive
  Excellent,0.5719,positive
  Good for this price.,0.4404,positive
  Go for it! in this price this is a good Product.,0.4926,positive
  Good,0.4404,positive
  Good,0.4404,positive
  Good product in such price,0.4404,positive
  Good product worth for price,0.5859,positive
  Right Product,0,positive
  Good product,0.4404,positive
  Sound is very poor,-0.5256,negative
  Ok,0.296,positive
  Very good mobile,0.4927,positive
  Nice,0.4215,positive
  Not that worth can keep as a phone set in emmergency.,-0.1695,negative
  Good,0.4404,positive
  Ok product,0.296,positive
  Nyc product,0,positive
  Good phone,0.4404,positive
  Original Product,0.3182,positive
  Like,0.3612,positive
  Bad,-0.5423,negative
  All,0,positive
  Mobail very slow work,0,positive
  Value of money,0.34,positive
  Chi,0,positive
  Very good,0.4927,positive
  Over all fully OK,0.4983,positive
  Money worthy product. Bog display. Smooth Feather Touch. Over all Good product.,0.7003,positive
  Overall good product this price.,0.4404,positive
  Good cameraGood battry life,0.4404,positive
  Overal good,0.4404,positive
  Good phone on terms of quality but not on price.,0.2382,positive
  Hanging problem and not working properly,-0.4019,negative
  Best product in low price,0.4767,positive
  Not a good product,-0.3412,negative
  Amazing quality mobile but one disadvantage it hanges on some apps,-0.3182,negative
  Good,0.4404,positive
  Good,0.4404,positive
  Over all very nice phone,0.4754,positive
  Ok nice 😎,0.7906,positive
  Nice product with good features for 8k,0.6908,positive
  Perfect value for money,0.7269,positive
"  Good  mobile..camera,, battery, lookng overall good mobile for using daily life",0.7003,positive
  Y mobile was taking so much time to charging,0,positive
  Nice nice,0.6808,positive
  Very bad quilty not charging mobil eyrpohone missing I HATE YOU amzone,-0.8867,negative
  It is absolutely fine as per it price,0.2716,positive
  Face senser not working,0,positive
  Headphone not recieved,0,positive
  Nice and best mobile for this price.Camera is awesome.,0.9022,positive
  Fast delivery....it is very nice product....Thanks to amazon,0.5849,positive
"  Good backup of battery life,camera quality is up to the mark",0.4404,positive
  Within month the display is notFunction ing Bad product,-0.5423,negative
  Good,0.4404,positive
  Just satisfied,0.4215,positive
  Nice mobile i bought for my friend,0.7184,positive
  Light weight mobile.Mobile condition is super,0.5994,positive
  Awesome....value for money. Battery backup is ameze,0,positive
  Over Heat during and  after Charge and Nt Friendly,0.4939,positive
  Phone is not good and this have not double camra and finger senser,-0.3412,negative
"  Sound quality is not good, especially when the phone is on speaker",-0.3412,negative
  Ver good phone at good rate,0.7003,positive
  Mobile is defective,-0.4404,negative
  Battery life amazing,0.5859,positive
  Okay for the price you are paying for the product,0.2263,positive
  It is good to have this mobile as a temporary one,0.4404,positive
  Nice phone value for money,0.6369,positive
"  Everything  is working nicely, good  phone in this price.",0.7003,positive
  Very good product especially it's camera and battery  is amazing.,0.7902,positive
  Quite decent but the charging time is very worse because of 5V-1A charger.,-0.6798,negative
  Hand set display off with in 7 Days after one click photo.,0.4939,positive
  Very nice product. Nice quality. Value for money,0.8204,positive
  good but.ordered.2 phones.i got one.only....bad for that,0.4404,positive
  I didn't receive earphonesI am not happy with that,-0.4585,negative
  Camera & battery are pros,0,positive
  Good,0.4404,positive
  Good,0.4404,positive
  Good battery life just need little improvement in camera quality,0.6815,positive
  Good,0.4404,positive
  Just go nd buy it,0,positive
  Good price,0.4404,positive
"  I liked the product.  Size was good enough.  Camera, clarity 👌",0.9265,positive
  Mobile not working amazon is not good comoany in mobile selling,-0.4449,negative
  Bought it from my dad he is very happy/,0.6115,positive
  Great looking but just one thing missing finger sensor,-0.0644,negative
  Ok,0.296,positive
  I am really happy,0.6115,positive
  All is good just camera is little low,0.2716,positive
  Phone is slow and camera is so bad .,-0.6696,negative
  Please replace the item do the needful,0.3182,positive
  Phone is Best under this priceIt looks just awesome.,0.8519,positive
  Battery best and camera is very low quality,0.4228,positive
  So nice product good,0.7397,positive
  Good productGood battery life,0.4404,positive
  Very good mobile buttery backup very good,0.7496,positive
  I have purchase it in exchange so it’s worth,0.2911,positive
  It is very slow and we also cannot play clash of clan also,-0.2584,negative
  The camera quality is really good.,0.4927,positive
  It's good and battery life,0.4404,positive
  Fingerprint  reader are no,-0.296,negative
  Quality is very good,0.4927,positive
  Good,0.4404,positive
  Good,0.4404,positive
  Good phone,0.4404,positive
  Best in this price,0.6369,positive
  Nice phone. Thanku amazon,0.5423,positive
  Its a good one for old people  not suitable for playing heavy game.,0.32,positive
  Awesome phn plz buy as u want best batery backup,0.872,positive
  Need more battery backup,0,positive
  Good,0.4404,positive
  Excellent,0.5719,positive
  Ok for rough use with God price,0.5106,positive
  Osum,0,positive
  Good,0.4404,positive
  Charging take too much  hr to charge for 30% fo charge,0,positive
"  Video clarity Nil, Battery not backup few time atleast",0.4019,positive
  Excellent product...very nice camera quality,0.7579,positive
  Theek hi,0,positive
  Good product from vivo,0.4404,positive
  Need to improve battery backups,0.4404,positive
  It's been just 2months  my phone is running very slow,0,positive
  Not very good I did not receive handset and usb cable,-0.3865,negative
  Not have fingerprint reader... But otherwise nice one,0.5719,positive
  Waste of money,-0.4215,negative
  Product is good but no headset available in the box.,-0.2144,negative
  Great deal,0.6249,positive
  Nice product,0.4215,positive
  Good Product,0.4404,positive
  Good,0.4404,positive
  Poor,-0.4767,negative
  Good,0.4404,positive
  It was very good phone i have bought it for my mom,0.4927,positive
  Camera 📷 not good,-0.3412,negative
  Very poor quality product don't think to buy this phone,-0.5256,negative
  Overall mobile is good according to price,0.4404,positive
  Awesome product. I just loved it.,0.8402,positive
  This is nice but sometimes it just makes hang problem,-0.3919,negative
  nice phone,0.4215,positive
  Good battery life,0.4404,positive
  Vivo quality is best and it is value of money...,0.765,positive
  Good product,0.4404,positive
  Very nice,0.4754,positive
  Poor performance... Highly disappointed with  vivo y91i,-0.7574,negative
  Worthful can buy,0,positive
  Nice phone and nice features. Completely worthy for given price,0.8313,positive
  Nice,0.4215,positive
  As per price phone i good in everything,0.4404,positive
  Display sosoBattery niceCamera soso,0,positive
  nice one,0.4215,positive
  Good one,0.4404,positive
  Speaker problem,-0.4019,negative
  After some times it is hanging,0,positive
  Within the price rage its okay,-0.4019,negative
  Nothing,0,positive
  Not bad,0.431,positive
  Value for money.,0.34,positive
  budget friendly mobile,0.4939,positive
  Too bad touch screen..,-0.5423,negative
  For old people its easy,0.4404,positive
  Excellent performence of all category,0.5719,positive
  phone is good but  camera quality bad,-0.5859,negative
  It was really good & the colour was so pretty,0.8079,positive
  Awesome phone in budget price,0.6249,positive
  Best,0.6369,positive
  Camera  battery life screen quality excellent,0.5719,positive
  BETTERY BACK UP MOST POWERFUL THANLS VIVO & AMAZON,0.7901,positive
  Overall perfect,0.5719,positive
  Nice mobile but camera result poor.,-0.5023,negative
  Nice Products,0.4215,positive
