reviews,Fine-grained sentiment score,review_category
"   Defective product shipped.. reported within a  few  hours of receipt and no one showed up for inspection despite several follow ups. Now, it is not being replaced or refunded. Horrible experience!!",-0.8475,negative
  Nice phone camera better attractive look,0.8225,positive
  Design-GoodCamera-NiceDisplay-satisfactoryBattery backup-Up to the markOverall-Must to have phone for redmi lovers,0.5267,positive
"  The headphone jack is not working  😡 Despite the customer care approved the replacement the delivery boy is not listening to them.He is standing at the door, calling this or that official and not replacing my phone. I feel so much harassed. Please somebody intervene.",-0.26,negative
"  First sell, First order. Mobile is very nice...",0.4754,positive
"  Before buying you must know the difference between 7k mobile and 10k to 15K Mobiles .Reason for choosing this title earlier i used a pro version model , Now i am reviewing this model after 3 days of usage.1. Ear speaker quality in outdoor's very poor  . Keep your headphones handy ,2.Sensor's are not working properly ( this is the reason i choose this title , sensor quality is based on price )3.App search option is not available  , you must be very patient to search required app when you have an urgent need , you have to swipe all your mobile to choose required app . or change the launcher . default launcher is not capable of doing this basic function .Rest all other functions are good  .",-0.2208,negative
"   Worst phone ever. Don't buy ths phone.heating issue at the bottom side of touch screen, touch button as well as ghost touch activates on its own within 1-2 minutes and you can not use any of the app properly.Initially thought it may be a due to some kind of virus, even after company reset issue is there and also you can see screen flickering very easily.",-0.3832,negative
"  This is my 4th MI Phone in 3 years. Earlier ones were good.But here The extra battery has made phone heavier and hence has lost it charm, now looks like chinese phone. Earlier ones were as good as other phone apart from brand.Not recommended.Would love to return but it was gift for family,",0.8537,positive
"  I bought this for an older relative who needed a basic smartphone. Given its pricepoint I didn't have much expectations for the Redmi 8A but after unboxing and setting it up I have to admit - it looks and behaves like a premium phone!In almost every aspect 8A has been upgraded over the 7A. While it doesn't have a fingerprint sensor, the camera is much better than I expected. There is a bit of lag in opening and switching between multiple applications but it shouldn't be a big deal for people with basic usage patterns. To facilitate better grip, 8A has a non-glassy back that is textured. Overall, I was pleasantly surprised by the phone given its pricepoint. For its target demographic (light users who might just want to take some pics, use social media and the occasional app) this is a great phone.The only drawback I felt is that Xiaomi has been aggressive in bundling custom apps in the phone that deliver lots of ads and sponsored videos by default (and it requires some know-how to disable them).",0.9721,positive
  Mobile is good at this priceBut when I was using hotspot and screen recording the mobile became overheated it hanged so i switch off it.In this range mobile is really good..,0.7264,positive
"  We are highly unsatisfied with the product .There is performance issue with the phone in which the touch ,speed as well as the processor is very slow.It does not worth the money and the sound quality is also low.The battery also gets drained very early though it is of 5000 mAH.We have mailed a return request but they have not taken any action.I need to return this phone and want a new phone as soon as possible.",-0.2685,negative
  The phone hangs a lot. Processor is too slow. Apps close on their own. Can't ecen listen yo music continuously.,0,positive
  Defective display (minor scratch) on the scratch and there is now way i can return / service / request replacement.,-0.4404,negative
  Mobile software crupted within 2 months ...I visited MI store after Lockdown ....Mi Store not giving warranty service asking for money for service ...I am longtime user of MI mobiles but this time it hurted me ...no more MI mobiles,-0.1326,negative
"  Perfect mobile for a beginner level smartphone with 2day battery backup, the only problem is processer only otherwise there's no issues",-0.0516,negative
  PRICE : ECONOMICALPERFORMANCE: BUTTERY SMOOTHLAGS: NOBACK CAMERA: GOODFRONT CAMERA: REASONABLESCREEN QUALITY: EXCELLENTBUILD QUALITY: EXCELLENTBATTERY CAPACITY: 5000 mAhFINGERPRINT READER: NOBODY MATERIAL: PLASTICFEONT GLASS: CORNING GORILLA GLASS 5OVERALL THE PHONE IS LAG LESS & PERFORMANCE IS GREAT.WORKS REALLY WELL.BEST BUDGET SMART PHONE.,0.3012,positive
"  Camera: Good Quality. In good light, the pictures are awesome.Battery: No doubt, awesome backup.Display: Smooth and colors look better than similar range phones.Screen: No tempered is compulsory. Smooth and reliable.Sound: GoodI bought this for mom. Definitely a awesome product for regular average use.Don't see what is missing because what is provided in this phone is rare or not there in other products with same or even higher price range",0.8725,positive
"  Top smartphone in this priceEXCELLENCE camera , great display",0.7096,positive
  I purchased this phone in Feb. 2020  from Amazon site and now it's May 2020 and  I find it difficult to swipe it open after the display goes on sleep mode.  So this is the status it's touch mechanism within 3 months.  So one has to be careful about buying cheap quality Redmi phones as the touch mechanism may not be of good quality..,-0.383,negative
"  Nice design,heavy, gr8 display size , camera quality poor, battery capacity excellentGood price for these features",0.5267,positive
"  Phone is good, no finger print reader, but price is disappointingBecause it is launched at a price of 6499 now see the price",0.2732,positive
"  The phone has many pros and some cons.The cons are :Speaker sound is not that good.Sound with bluetooth headphone ,earphone is not good.Equalizer can not be used in case of bluetooth headsets, earphones.There should be a 4 ,64 gb variant.There are some MI apps which can not be uninstalled.Camera is ok, medium quality.",0,positive
   From 12 the day it is not working. Mi service center re installed the software but still it is not working,0,positive
"  Redmi 8A Dual (Sea Blue, 3GB RAM)Battery: The smartphone comes with a 5000 mAH battery. For an average user, this is great.OS: The preinstalled OS Android 9 with MIUI Global 11.0.2. user interface.OS Volume Bug: There is a bug which constantly causes volume to drop to zero. You can fix this bug by System Update.Camera: Pretty decent camera. There are already too many reviews on this, so I'm not gonna comment.Bloatware: Probably, this is what bugs me most in android devices. There are bunch of preinstalled apps and games. Most of them are unnecessary for you. You can remove most of them but not all. This is pathetic.RAM Usage: After removing bloatwares, the system takes around 1.1 GB of RAM, so you will have 1.9 GB of RAM which is enough for the most users.No Heating Issue: I'm not a gamer, but if you are an average you will not find any heating issue, at least most of the time.",0.1406,positive
"  I was purchased Redmi 8A on.  19/02/2020,  but received phone is defective,  i was already registered my complain, but Amazon not postive response.",-0.7227,negative
"  I wasted my money on this phone,Phone hang a lot and all functions start working automatically and iam not able to restart the phone. So at that time I have to wait for 20 30mints.I demand product replacement or refund plz.",-0.5267,negative
"  I was a little sceptical while purchasing this phone as it was my first Chinese phone as I was fed up with my mom's rough phone usage! She successfully killed many good brand phones like HTC, Samsung etc so wanted something really cheap this time. I paid 7500 for this phone even though the old price was 6500! Due to lockdown, I had no option to roam around! The best part was I got 3100Rs for old Samsung J4 in exchange with no mess, whereas local shopkeepers were talking about 1k resale value lol! That was less than year old phone though but still, I was happy with buyback price so went ahead and decided to buy this phone even though there are plenty of negative reviews!Now coming to the phone I didn't feel like I'm holding some entry-level Chinese phone! It's a great phone for ladies who use phone just for WhatsApp and calling. No problems found so far. The battery is excellent. Colour is catchy. The best part is Type C slot as all other phones in my home have Type C! Best phone for basic users. Not for Pro. I own LG G7, Oneplus etc so I know what premium means! So I won't call it premium but it's definitely worth a try! Consider the life of a couple of years and proceed as even branded entry-level phones die sooner or later. It's been only 2 days so can't say much about it. If there seems to be any problem I'll update my review.",0.9809,positive
"  Pros:*Cool battery*Type c charger and fast charging*Corning Gorilla glass 5(toughness)*Splashproof*Wireless FMCons:*Too many pre-installed unwanted apps which would kill internal storage and ram space*No private safe, but covered with second space. (Hide option is provided for folder as a whole, not for individual file/image. That too without password protection!! Too bad*processor performance is not great but good.*presence of Finger print sensor would be great*Both the cameras are too bad.. would feel like having 5 mp camera.*Weights heavy due to 5k battery",-0.8984,negative
"   My review for Seller Appario :2nd ViDEO :DEFECTIVE PIECE: Mobile is misbehaving... suddenly clicking on any/many app... ""WITHOUT TOUCHING ON SCREEN""... suddenly opening Gmail... suddenly opening SMS and start typing... very sad...",-0.8666,negative
  Missing fingerprint sensor but nice phone with nice design,0.7783,positive
"  I bought this phone for my dad.Pros:good battery lifelarge screenlook and feel is nicecamera is good for its priceCons:THIS HANDSET IS MADE IN CHINAI thought it is Redmi (made in India), but it is made by Xiomi.Does not have fingerprint scanner.",0.2382,positive
  It is fantastic phone for you if you are a normal user and not  a gamer . But unfortunately I received the handset is defective (I dont know that other have faced it or not) . In some app like BHIM UPI it shows the device is rooted. You can not oparate may app in rooted device . So please make sure that if your device same problem . If yes then mark my review as helpful. Thak me latter.,0.8635,positive
  Service is good but........,0.2382,positive
"  Cons:1. Very bad camera. Selfie camera is not even enough for video calling.2. Performance is not up to mark with 3gb RAM.3. Heating problem with extensive usage of internet or gaming.4. Many unnecessary apps which cannot be removed are impacting performance.Pros:1. Very good battery life.2. Nice display and well built.3. Budget phone.Overall, it is a budget smartphone with less smartness. Lot of notifications which are unable to remove with many unnecessary apps in OS.",0.5118,positive
  Cons: No fingerprint sensor.No Widevine L1 support.Not a good camera at all. Photos captured are blurry and unclear. Totally disappointed with the camera.Too many MI built in apps which reduces the usable memory in hand.Pros: Premium quality design.Feels good in hand.Corning Gorilla Glass 5.Type C port.Fast charging.Dedicated Memory Card slot expandable upto 512 GB.Super Class Audio Speakers. Sound is very good. Listening music is very much enjoyable.Not heating up while charging.Display not bad at all.All in all a good phone at this price range.,0.775,positive
"  I have purchased 8A dual but its not a good product ,i have buy many product from amazon but i havent recevied such a bab product these phone camera is not good & get blink any while opening app..& phone get swtich off..while video call camera is not stable i request you to change the product & refund the money asap...i m not happy with this product..these issue i m facing from 1 month..",-0.8884,negative
"  When I receive this item it was 63% charge then I put charge after two hours it get only 68% only then I put whole night charge next day morning it get only 80% charge.. I totally disappointed..After that I returned this item then I received new mobile when I opened I directly put into charge, I get the same issue I don't what a do.. what they are doing I don't know they not checks properly and not inspected.. I really upset this service..",-0.4391,negative
"  In this price segment this is the worst mobile I have used yet. Camera is above average not best, there is a big issue in this phone is network and wifi connection issue.Phone automatically disconnected wifi connection all the time and network is also very weak comparing to other mobiles. One big issue I found today that touch is working automatically. And there is another problem with Amazon to replace the phone that now I have to post the phone to Amazon then they will send a new phone.Third class performance",-0.8992,negative
"  First  of  all I would like to say,""IT IS THE BEST PHONE UNDER ₹10,000""....*GOOD Selfie and Rear cameras at this price.*FAST CHARGING*GOOD PERFORMANCE*STYLISH EXTERNAL DESIGNS*BEST SPEAKERS*BEST FOR PLAYING GAMES LIKE FREEFIRE ,PUBG etc...(but You should play with Standard Graphics otherwise occurs a heating issue )*NO FINGERPRINT FACILITY*NO EARPHONES AVAILABLE WITH THE PHONE*PREVENT THE DEVICE FROM RUNNING IN LOW SPACE other wise There will be a Lag iSsue..",0.9255,positive
"  First off all it is a good product for this price. Good looking and smooth. But..The camera is too cheap that it is a waste having dual camera for this quality. May be it's software issue.And IT LACK A FINGER PRINT SENSORbut HAVE FACE UNLOCK INSTEAD,it is pretty good.The phone is LITTLE BIT BULKY may be because of 5000mAh battery pack.Anyway it's is good as a budget phone",0.7242,positive
"  The phone comes with a 6.22-inch touchscreen display with a resolution of 720x1520 pixels and an aspect ratio of 19:9. The Redmi 8A Dual runs Android 9.0 and is powered by a 5000mAh battery.The phone is a bit heavier though compare to the other ones. And sometimes it gets over heated.Overall, it's an affordable phone with a very reasonable amount of money.",0,positive
"  Defective product received as with many other users. The phone has ghost touch problem. This seems to be the issue with this phone model and also in general with Redmi phones as is apparent from several online forums. Since I only noticed this problem after the return period was over, Amazon wasn't ready to extend any support on this. The problem has only aggravated since and the phone now dials numbers  or opens apps on its own. For the first time in my life, I have faced a hardware issue with a brand new phone. Redmi QC seems to be very lax. Now I need to take it to the service centre. It is really annoying to send a new product for servicing and be left without a phone after spending your hard earned money.",-0.9535,negative
"  Excellent mobile to use... Bought for my father and he loved it as he starts to use it.Big battery lasts longer.Excellent display, vibrant colours presentation, nice photos and videos, up to the mark... Thanks Amazon for perfect package and delivery on time.From company side in the box, No screen guard and no mobile pouch provided.",0.9565,positive
  • Camera Quality is acceptable (Don't expect much quality).• Not a gaming processor. (Snapdragon 439)• No fingerprint reader.• Face Unlock is present.• Out of the box type-c charger is present.• Correct fit in hand.• Gives a good inhand feel.• We can play some heavy games in it (PUBG is included).• Excellent Display.• Dual 4G support is there.• 2.5 hours charging time (20% to 100%).,0.9231,positive
  The mobile phone is best option for those user that needs good battery backup. Beautiful looking mobile. Type C charging port but charger supplied with this mobile is 2 mAh type C Charger.,0.7184,positive
  It's working fineBest phone in this rangeLooking for I was looking for a phone under 8000 for my younger brother as he was having very tight budget so I search many phone went to market in the market offline this phone was being sold about 8500 but I got on Amazon in 7500 only you can see it is available on Flipkart another platform over 8000Other alternative of his phone in the same range having low quality processor and no gorilla glass screen c type charging in this range you cannot find anywherePhone has premium looks,-0.5647,negative
"  1. Battery Life is Good - Lasted for 1.5 days on one charge2. Full Charge took 1 Hour which is ok for 5000 MAH Battery3. Mobile is a little heavier due to battery4. The phone did not heat up though used continuouslyGood Buy at the offered priceImprovement Areas1. AI Camera is not that fast2. Already MI Security Patch is released and takes 1.7 GB of data for update, No problem for wifi users but heavy on cellular networks3. Lot of adds and push notifications, Disable them4. Camera Quality fair enough for this Price, Dont expect super trendy clarity5. Always notifies to update the built in apps all the time, they will work though not updated.",0.3839,positive
  Fast charger not given in box of productThis is not a made in India productSo don't buy thisInstant this product buy Honour 9S mobile which is latest Android and features loaded alsoThank you,0.5719,positive
  Best budjet smartphone from redmiIt worth my money Excellent smartphone 👍🔥💥Thank you Amazon and XioamiThe most interesting thing is you get 5000 mh battery in this budjet.But redmi should add fingerprint scanner in this smartphoneBut overall the phone is Good,0.9324,positive
"  Great phone and you will get all the high end phone trending (gestures, raise to wake, dark mode and much more) customizations with miui11.People who are not willing to spend a fortune on the devices can easily upgrade to this one.For daily usage beats all categories.Love it.",0.7579,positive
  Placed for return! Still not sure when my return will be processed! Amazon Customer service is closed!The adapter of charger DIDNT WORKSOFTWARE FAILURE IS THERE! Identified and reported the very next day of purchase!,0.631,positive
"  My mom’s been using this for around a month now. It looks great, and found no issues yet.Tbh, display is too big. If you like big screen phones then go for it. Go for the 3GB RAM version, since 2GB one is too slow.Display: 5/5 (No issues at all)Sound: 3.5/5 (It’s loud but not that great)Camera: 3.5/5 (Dual cameras but photos are not at good)Battery: 5/5 (My mom doesn’t use it that much, so battery lasts up to 3-4 days easily)Quality: 5/5 (It’s plastic but the built is nice)Overall: 4/5 (Works out great for my mom at this price. Satisfied)",0.9194,positive
"  Bought this for my father who is 75 years old, suggested by my son who is 15 years old. Both of them are impressed for different reasons. Father, for the light weight and non-slippery hold, son, for the speed, camera quality and sturdiness. I am happy because it is value for money. Overall, a great deal for first time users.",0.9231,positive
"  This is one of the cheap smartphone according to its features.Battery capacity is amazingCamera is ok not so good.Two things I dislike about this Phone that it is made in China not only mobile, adapter is also made in China and the second thing is 10w charger is given in this box we have to purchase separately.Sound quality is clear and too lound I liked this also.Overall I like this Phone.Note: We have to use invoice as a warrenty card to claim our warrentybecause Warrenty Card is not separately given inside the box. So I request the seller to give invoice in good condition to customers because I have not received invoice in good condition.  (For those customers who have written ""Warrenty Card is not given"" in their review and for the seller).Hope this will help.Thank you.",0.9062,positive
  I purchased Redmi 8A Dual on 27th July 2020. It has 7 days return policy. After 15 days the phone was switched off automatically and after several trying phone did not power on. I go to the redmi authorized service center for servicing of the mobile phone. They tell me that the phone was water damaged. Due to this I did not get any warranty. But they did not open the mobile in front of me for checking.  Worst quality of phone I ever seen and worst quality of service center they have.,-0.9354,negative
"  Not a good product. Took it to service center. First they changed software. But again started to hang. Requested for replacement, but not getting replacement during warranty. I purchased this because of its high rating and it looks amazon rating is fake.",-0.5863,negative
"  I ordered this phone on behalf of a relative and she confirmed tht the battery last only 2-3 hours.When she went to MI service centre, they said tht they cannot replace the phone because it is bought on Amazon and Amazon should replace it. Some nonsense.They have finally agreed to replace the battery.please be careful buying Mi Phones.",0.6249,positive
"  I bought it on 13 jul 20 and from last 10 days I am having a huge problem like battery is getting down very fast, phone is getting hanged again and again. When sometime someone is calling me my phone screen is getting totally black. Messages are sometimes been shown in dragbox but when I am touching it or finding it in inbox it is invisible. I am totally hopeless that what I have bought. Total waste of money.",-0.8414,negative
"  A good dual camera phone in this price range. Battery is 5,000 mah, but performs like 4,000 mah. Camera is good. The best thing is its screen. A nice 6.2"" inch display. Similar to most high value mobiles from this same brand. This sky white colour is best among three. A perfect budget phone till date.",0.9881,positive
"  Posting reviews after using it for 1 month:Cheap quality intarnal materials used ex. Camera sensor, bluetooth, etc.Realized after experiencing following unexpected problems:- screen hanging- bluetooth not connecting now, earlier connecting when it was- leaves the marks/shadow of the icons/screen elements used in previous applications or even after accessing the contacts or any content.- mobile charger gets heated up like anything after 5-10 min of chargingQuality getting cheaper as the number of users increasing. Company only eye on maximizing the profits. That's what the conclusion is.",0.4588,positive
  Exactly once 10 days over for replacement 11 th day phone display goes off. Went to service centre asked for replacement they said nit possible done change of display of some other model and given much dissatisfied from this purchase.,-0.3818,negative
"  I think mobile delivered to me today is defective and not in working condition.So it is surprised like a reputed E_Com , Amazon India doing this type of delivery.it hampers your name and fame.please file a case or written compaint to your seller.",0.296,positive
  Redmi 8A Dual 3gb 32gb..Mobile average performance..Not available Fingerprint Reader..Battery life performance also average 5000Mah Battery not going full 2 day with normal usage..Camera quality is also average not upto mark..No slow motion video.. not more option..And main thing so many adds on apps unnecessary  getting notifications...Totaly average performance..But good thing is this mobile getting USB TYPE C & Fast Charging Support is available...,0.6808,positive
"  I had this Smartphone for my mother. Now after using it about 15 days , I can assure you that Xiaomi has arranged a great deal , but by the time passes new Smartphones will be it's competitors. So remember it's time and current scenario I can completely recommend you to buy this phone if your budget is below 10k .I had ordered 3gb+32gb sea blue variant and got delivered within 5 days , thanks to Amazon. The phone supports 18 watt fast charging and has 5000 mah battery and face unlock , which are unexpected in this price range. But Snapdragon 439 processor is not eligible to do any hard work . I would recommend to use this phone for basics.",0.952,positive
"  Important tip: Buy 3GB version to run free fire and other apps without any lags (Available Ram 2 GB/3GB).●Mobile is very good without any lags till now. (using Messenger, Whatsapp, gaana app simultaneously).●Don't buy this mobile for playing high config games. Processsor and graphics hardware are of average quality.●The battery is huge in this mobile. Charging with realme 20W charger took around 2 hours (10% to 95%).●The front and back camera is good in this price segment, and don't expect a quality like 15k mobiles.●The screen comes with a corning gorila 5, with no extra thin screen protector which other phones has.●Face unlock is good but sometimes doesn't work in low light. That is completely ok in 8k mobile.●Now the main thing which I don't like on this phone is useless apps which can't be uninstall. (like MiPay, MI secure vault, etc MI apps). And we can't trust these apps as government banned many MI apps because Xiomi read  and store every activity you do with those apps. So only use google apps to secure data and personal details. BTW it is still not reliable because MI11 OS also can read all your data. Some MI apps has own T&Cs which no one reads before opening. So use Xiomi phones carefully and don't store any banks information or passwords.",0.2924,positive
"  It's not called grey colour... If there is no stock of the required colour,it should be shown to the customer... Should not just give any colour you have.That's the problem,but this colour too is not bad.",0.1285,positive
"  I have upgraded from 7a to 8a, this series was released just three months after the earlier version.The battery🔋 which is 5000mah doesn't seem to be showing lot of difference from the 4000mah on the previous 7a. The only negative being the weight of the phone is a little heavier than the previous one. The blue color looks great but the phone is not easy to hold, you have to add back cover with a grip.Camera is good but the front camera has a lot of AI in it. When I took a picture with the back and front camera, the front looked too bright with a lot of brightness.Call quality is very good and it sounds almost like Nokia quality. Videos look good.  I have dropped my old phone a few times with absolutely no damage to body or phone function. I don't use the face lock so can't comment",0.9684,positive
"  The phone does not boot up. I am not sure what quality check has gone into the product. unfortunately I was not able to return the product on time and the return window got lapsed. Now I am running at the MI brand store to get the product replaced. I spoke with amazon customer care and the seller and they were not willing to replace the product as it got out of the window. What good is a phone if it does not even boot up, What quality testing was done on the phone. Worst exp with amazon and with the seller. I was asking them for replacement as I could not ope n the product on time due to medical issues.",0.0098,positive
"  Redmi 8A Dual REVIEW01. Screen Recorder - Pixelated Distortions 1/502. Camera Quality - 8 MP Front (2/5) Rear 13+2 MP (3/5) Camera Pro Advantage (4/5)03. Sound - Reasonably Good & Loud 4/504. Picture & Video Display Quality(Resolution) - Good One 5/505. Audio Recording - Decent Quality 5/506. Image Editing & Filters - Not Upto Mark 2/507. Wireless FM Radio Advantage but with Distortion & Wavy08. Charging & Charger 2/5 Battery Capacity & Drainage 5/5 Comes with a 10 Watt Charger for a Phone that supports 18 Watt Charging09. Uninstallable Pre Loaded Apps 1/510. Phone Overall Look & Feel - Nice 4/511. Memory You Get 22.82 GB Out of 32 GB (9.18 GB System Storage)12. Alarm: Phone Wake Up Advantage & its decently audible13. Bluetooth & WiFi works fine 5/514. Haven't tried FingerPrint Reader, Dual App, Second Space & Split Screen (Will update)15. Network seems okay so far!I still wonder why don't we get an EDGE to EDGE DISPLAY  & why REDMI LOGO had to be down there. Besides why did they had to come out with shady hue (Sky White, Midnight Grey & Sea Blue) versions, & why not just simple sleek 'Black or White' . They could have been more simple though, i don't seem if the design at the rear does any wonders or is  wow factor..Thanks to Amazon!",0.9717,positive
"  The phone is good for the average user. I can say the one who needs streaming apps, whatsApp, Facebook and similar other app will love the phone. Everything is as per expectation. Would have surely liked the product if it was made in India. The model I received is Made in China. Battey backup is good. I am not into much of camera but it comes with 13MP which is good from business point of view.Face recognition is working 7/10 times. No fingerprint scensor. But it's okay for few people like us. Storage is more than enough with 53GB. And 3 GB RAM works well with all apps I mentioned.",0.9408,positive
  Defective product. Started auto shutoff and on after just completion of return date. I have purchased it on 12th July 2020. Problem started from 25th July and surprisingly 24th July was last date to return. Very much disappointed. I am purchasing so many products from Amazon. They should check thoroughly before delivering at the cost of their reputation.,-0.7251,negative
"  This is the third Xiaomi product I'm purchasing but this time I'm highly disappointed. 8A phone is no different than Redmi 7A except that this is quite bulky to hold and has better battery life and comes with a C-type charger. Redmi 7A is a lot better than 8A in terms of design. Don't go for the Blue coloured one of 8A, cos it has a funny shade than what's seen in the pictures. Camera claims to have 13mp lens but has no quality of even an 8mp Samsung phone. Also has poor settings with so much beautifying filter which makes everything look so lighter in shade, polished and cartoon like. Xiaomi used to deliver top notch quality phones and camera at the same price range when they launched phones during 2015-16 time period. Xiaomi is compromising a lot on camera quality. The touch response of the handset i received is slow. Also they're refusing to return the product and instead they're giving me a replacement of the same phone which I don't want. When we contacted the Amazon customer care they're asking us to place the return after accepting the second replacement. Why this complication when you can return the first right away than make everyone take double risk of travel in this time of pandemic.",0.9392,positive
"  I take online classes so video and voice must be clear. The mobile should be slim and light weight to put on tripod.  I needed a rough and tough high performance phone within my budget constraints.C type charging pin means long pin life. Battery backup is superb, Speaker sound is quite loud, slim body and vibrant colours look smart. Camera is more than enough to fulfill my need as an amateur photographer.Display and handling is quite good. Normal apps work smoothly and I don't use phone for gaming. WhatsApp, Facebook, youtube, etc work well and 64GB Storage with 3GB RAM is more than enough for me.",0.9612,positive
"  Pros:1.Great Battery Backup.2. The display quality is good.3. The processor is powerful enough for daily tasks not for gaming.4. The only phone with Type-C charging port under 10k, supports fast charging.Cons:1. No fingerprint reader.2. Pre-installed Bloatware.3. Normal charger instead of a fast charger.4. Average camera: Good in daylight(Use Gcam for best results).Overall a decent phone for a college student, Family members.",0.8807,positive
  It's a great phone in low budget. If you are looking a low budget phone then you will go for it. It will provide you fully satisfaction.ProsBattery life is awesome.Build quality is good.Display is also very good in this price range.ConsIt does not have finger lock sencer.Face lock is slow but ok in this price range.Back cover in unavilable in the box.If you find my review helpful then like it guys,0.9061,positive
  Its average phone and disappointed with Amazon as they havent mentioned country of origin as China,-0.34,negative
"  Writing this review after using this device for 2 months.Delivery was super fast (Delivered in just 2 days)..Pros :-1. Big Display (This 6'22"" display is really good for day to day usage).2. Battery & Charging - 5000 mAH battery lasts upto 2 to 2½ days for a normal usage and this supports 18w fast charger and also have USB Type-C cable which is excellent in this price range.3. Look & Feel - This entry level smartphone have a polycarbonate back which is decent and have a good grip..., And it also have Corning Gorilla Glass 5 protection in the front.4. Face Unlock feature - This smartphone doesn't have fingerprint sensor but have a face Unlock which is quite reliable and works well..Cons :-1. Processor - They should have gone for Snapdragon 450 or 460, SD439 is old processor.2.  Bloatwares - There are adds in this device & also have few bloatwares like Mi Community & Helo App which are banned by Indian Government..Overall this is a good upgrade from Redmi 7A at this price range..If you want an entry level smartphone this one is good.",0.9449,positive
  This is a great product under the 10k range..personally loved it.Though it doesn't have finger print sensor its beautifully designed and can be used.. i've bought this for my father n he loves it.. battery life is 5000mah which is huge and camera quality is good for this range. . so you can definitely give a try,0.9737,positive
"  The phone is beautifully designed, including the patterned plastic back and the dewdrop notch design. the battery life is good but it could be better but since it's miui,there isn't much you can get apart from ads in the UI which are hard to turn off,there's a lot of invasive bloatware and adware,also the camera quality is average,there was no need for a dual cam setup(I feel the lower camera can be fake),the front cam is average too,I think should've gone with the 9i. Also, there's no screen protector or cover in box",-0.2144,negative
   Bought  a new redmi dual 8A through Amazon .There is a technical issue with this handset.its functioning on it's own .various screen and key pad functions start functioning without even touching the handset.Amazon is not willing  to replace the handset. What a waste of money,-0.2732,negative
"  I have got a defective product today I pluged earphone but it didn't work than I thought the ear phone is faulty I tried new one but this didn't work too. Then I tried both earphone on another phone these were working.And returning period is also over but the good thing is I rarely use earphone but when I tried earphone today first time and found the product is faulty I have got a lot of anger but it was my mistake too that I didn't check it in starting days.Ya, but it worthy to be criticized.Instead of this sometimes it's touch do not respond instantly, I have got this problem later.",-0.9098,negative
"  Everything is good in mobile but processor is little bit slow(if u r a game user not recommended). Also if u use many applications simultaneously then mobile will go slow.Some how I disappointed that chinese applications is still in there by default and you can't uninstall them,such as mi browser,mi music, mi pay, cleanmaster, mi video, xiaomi wheather etc. Chinese applications is banned in india and company xiaomi india also remove all these Chinese applications.Overall recommended if u r not a heavy user battery backup is good and type-c charger  which support 18watt fast charging is the only pros of this mobile.",-0.0227,negative
