reviews,Fine-grained sentiment_score,review_category
"  One of the best budget phones available under 8K. I was a bit sceptical about buying it as the company Tecno isn't known in India but to my surprise it is exceptionally well made.ProsBattery Life - 6000mah Easily lasts two daysScreen - 7"" inch screen for viewing videos and movies (Helpful for my mother as she struggles with small fonts while reading or typing)Two SIM slot and dedicated Micro SD slotCamera - 13Mp Rear Triple camera and 8mp front camera with dual flashAndroid 10 (Go version) - Up to date android with Go version for a seamless useConsRam - It is only available in 2GB and 32GB internal storage variant which the company should reconsider. Do not expect playing high end games. PUBG LITE runs with minor glitches during gameplaySound - Speaker output quality isn't upto the mark while playing videos and music but manageable.Would definitely recommend this phone if you're looking to buy something under 8k or a back-up phone to watch movies & web series.Thank you Amazon & Tecno :)",0.9807,positive
"  Value for money. I really wanted make an economical choice between phone and tablet. Glad that I am getting all tablet benefits with extra battery in a phone like this. It serve my purpose to browse online watch online content, study n enjoy music on mobile network. The phone is little heavy but if I had bought tablet it would have been bulky as well. At least it's not as heavy as a tablet but gives all benefits of tablet as well as phone.",0.9178,positive
"  Easily the best specifications at 7999.Was planning to get Spark Power 2.But, this is a much better value for money - 7"" screen, 13 MP triple cam and 6000 Mah Battery! Loving this.",0.9516,positive
"  No back cover,if u go in settings ,---legal information---user agreement----,first it's HIOS Operative system,and it's disclaimer and bound acceptence ,will glow your eyes,we are responsible for everything,,I am not installaling my bank app",0.1531,positive
"  Made in India, Originated from PRC. Very disturbing User Agreement terms related to Mobile OS, HiOS, owned by SHENZEN, Shanghai, PRC. Data, information and password nothing safe. No assurance of keeping OS updated. Use only for low end works.Moreover, non availability of Screen protective glass and cover, keeps always risk while handling",-0.6084,negative
  Third class product... charging adapter not working I purchased Amazon prime membership but Amazon not proper service ( service very bad )Third class service and cheating the customer by Amazon,-0.8243,negative
  Value for moneyBig size but good phone for battery backup,0.6757,positive
"  The phone comes with a 7.00-inch touchscreen display with a resolution of 720x1640 pixels and an aspect ratio of 20.5:9. Tecno Spark 6 Air is powered by a quad-core MediaTek Helio A22 (MT6761) processor. It comes with 2GB of RAM. The Tecno Spark 6 Air runs Android 10 and is powered by a 6000mAh battery.As far as the cameras are concerned, the Tecno Spark 6 Air on the rear packs a 13-megapixel primary camera with an f/1.8 aperture and a second 2-megapixel camera. The rear camera setup has autofocus. It sports a 8-megapixel camera on the front for selfies, with an f/2.0 aperture.The Tecno Spark 6 Air runs HIOS 6.2 based on Android 10 and packs 32GB of inbuilt storage that can be expanded via microSD card (up to 1000GB) with a dedicated slot. The Tecno Spark 6 Air is a dual-SIM (GSM and GSM) smartphone that accepts Nano-SIM and Nano-SIM cards. The Tecno Spark 6 Air measures 174.68 x 79.36 x 9.30mm (height x width x thickness) . It was launched in Comet Black and Ocean Blue colours.Connectivity options on the Tecno Spark 6 Air include Wi-Fi, Bluetooth v5.00, 3G, and 4G with active 4G on both SIM cards. Sensors on the phone include accelerometer, ambient light sensor, proximity sensor, and fingerprint sensor.Without Back cover",0.9501,positive
"  all the specs sheet is loaded to attract the customer . looks like lucrative deal but the device is average and definitely remind you that it is cheap chinese phone. Even no cover is sold for this model anywhere in any website, neither provided in box . Its better to buy narzo 10A or realme C12  instead of this.dont fall prey for tripple camera. Only usable camera is 13 MP ( I mean to say bokeh is not good and i dont know for what third 2mp camera is ??? its just a gimmick). there is no dedicated speaker and earpiece works as speaker and it sounds like screaming noise when you play louder.In my view only plus point of this phone is it has 7 inch screen which is good for vedio and movie viewing experience)i bought this @ effective cost of 7200 with card offer so i can say its okay for money i paid. but if have to buy @ 7999 you have lot of better options",0.961,positive
  Friends don't buy this phone and never buy anothing again in amazon. Amazon provides very very bad customer service. I buy Tecno spark 6 air mobile on Amazon . After 2 days the charging cable not working. Plz don't buy this phone.,0.4227,positive
"  After almost a week of using this phone my review is, Great build quality, battery can last easily a full day, great for students who are planning to buy a device for online classes and for studying in a tight budget, the phone doesn't lags or hangs unless you put too much stress on the phone, camera is amazing i can i see the a.i camera doing it's magic, stabilization in video is not very good, front camera is kind of disappointing for me it takes time to perfectly focus if you are taking some creative shots something like that, if you move a little bit also even an slight adjustments, very slight, while using the front camera the picture is just straight bad, i have used many phones and in them it's not the caseIt has bloatwares and stuff which u can't really uninstall for the majority, but some can be uninstalled and some can be disabled, majority of them, still not a great number of bloatwares but still a significant amount, the screen is great it's a big screen so it will take some time to get used to it, if you are not used to big screen phones or tablets or have never used it, screen is sometimes a bit laggy or unresponsive but i have seen that In many devices so that's a normal thing in ips lcd hd+ displays, picture quality is good, i guess a Little too sharp but again that to i have seen and used in many smartphones so if you have used something like that before you are good to go, and also it's a little contrasty when you're watching  some dark or not very bright videos like mostly the background is dark but not like watching sky at night, some video like that, not much of a issue, it also depends on the video also, the quality it has, that's not much of an issue but you should know that as a buyer, battery is great very useful for students and business personnelSo Pros:-BatteryRear Camera, 4 flash and front dual because screen flash sucks not a fanDisplay size and quality at this price is fair, i.e., hd+You get a case with plastic, screen or scratch guard onFingerprint scanner is fast and so the face unlock but in dark it is a little slow or sometimes doesn't work at all but in noticeably dark conditionsProcessor is fair plus the ram romIt has a25 octa core not p22 as shown in Cpu-Z  or any other app it's gpu is same in p22 and a22(which is a quad core so no way it's in this device as it has an octa core processor) and also the processor can go max up to 1.8ghz which only a25 does, rest have much higher clock speedCons:-Display sometimes is unresponsiveFront camera not a fanThe back panel is a little squishy or it gets pressed a little bit I don't know it's a flaw or just something they did willingly, but not a problem, it won't make any sound or you'll even notice it until you press itTHE PHONE KILLS THE APP THAT'S SADIT HAS A RATING OF 5 IN, DON'T KILL MY APPS, APPLICATIONAND IT'S MICRO INTELLIGENT THING CAN ANNOY YOU SO TURN IT OFF, BASICALLY WHAT IT DOES IT WHEN YOUR PHONE IS IN SLEEP AND IF YOU MOVE IT OR SHAKE IT A LITTLE BIT ALSO THE SCREEN GETS ON THAT'S SO ANNOYING AND USING A FLASH WITH THAT SETTING ON WHILE THE SCREEN IS OFF TURNS IT OFF AND AMBIENT MODE OF GOOGLE IS GOOD YOU CAN USE IT BUT SOMETIMES THAT TO GETS ANNOYINGDOESN'T HAVE A NOTIFICATION INDICATER JUST A LITTLE FRONT FLASH WHEN IT'S ON CHARGING",0.9823,positive
"  The phone comes with a 7.00-inch touchscreen display with a resolution of 720x1640 pixels and an aspect ratio of 20.5:9. Tecno Spark 6 Air is powered by a octa-core MediaTek Helio A25 processor. It comes with 3GB of RAM. The Tecno Spark 6 Air runs Android 10 and is powered by a 6000mAh battery.As far as the cameras are concerned, the Tecno Spark 6 Air on the rear packs a 13-megapixel primary camera with an f/1.8 aperture and a second 2-megapixel camera. The rear camera setup has autofocus. It sports a 8-megapixel camera on the front for selfies, with an f/2.0 aperture.The Tecno Spark 6 Air runs HIOS 6.2 based on Android 10 and packs 32GB of inbuilt storage that can be expanded via microSD card (up to 1024GB) with a dedicated slot. The Tecno Spark 6 Air is a dual-SIM (GSM and GSM) smartphone that accepts Nano-SIM and Nano-SIM cards. The Tecno Spark 6 Air measures 174.68 x 79.36 x 9.30mm (height x width x thickness) . It was launched in Ocean Blue colours.Connectivity options on the Tecno Spark 6 Air include Wi-Fi, Bluetooth v5.00, 3G, and 4G with active 4G on both SIM cards. Sensors on the phone include accelerometer, ambient light sensor, proximity sensor, and fingerprint sensor.With Back cover",0.9501,positive
  Product is average...I write this review after five days use...Rear Camera is Good but front Camera is wrost. Only one thing is good with this product is its Battery ...back up is excellent. The most wrost is....it's Cover is not available at Amazon ...and also not available in any other online platform...it's just horrible....it's the moral responsible of Amazon to sell the Cover . Using with out cover is always risk of slipping from Hand and damage....So I request to the Team Amazon to arrange it's cover on priority,0.957,positive
  Simply the best phone in this price range one can get ....look wise it’s premium brand no one will believe it’s so cheap .,0.7269,positive
"  Screen size is big (7 inch) and pixel resolution is good, so, it feels like a tab or kindle to read. But the day I purchased itself I observed some major software issue that did not allow me to absolutely download any Apps from the Google Playstore. I had to apply for replacement the very same day I received delivery.",0.1781,positive
"  Phone speaker is very bad.phone only good for battery.Request customer not to buy.No earphones,no phone case,no tempered glass.most importantly non refundable.overall below average quality",0.6666,positive
"  If you are spending 8,499 for this device, it is absolutely pennywise worth.You can find many negative reviews for this phone, but ignore all if you have a budget constraint.@8,499 no phone gives you 7"" supercool screen@8,499 no phone give you so many camera features (Though Primary camera is only 13MP & you can't compare it with other 48MP or 64MP camera high-end phone, as you paid only 8499)@8,499 no phone gives you 6,000 MH battery with Andriod10@ 8,499 no phone gives you almost a tab like experience@ 8,499 no phone gives you such a premium look & finish& Many more.",-0.9408,negative
"  Every thing 60% ok plese arrange for silicon cover or any cover for this 7"" display mobile please take step M/S AMAZON or TECHNO mobile manufacturers ++++ next model when introduce TECNO SPARK 7+ ,,,make everything  same look 4gb ram 128 GB rom price should  be below 11000 and improve the camera and processor  as per your  technical  people deciding",0.8877,positive
"  This is the first time I'm writing a review because I'm very upset with Amazon and Techno brand.This phone has Plastic body, display is not satisfying.Battery take 4_5 hours to charge.No fast charging feature is available.Built quality could be better.Battery drains very rapidly.Phone use to get heated very frequently.Total waste of money.So i would not recommend people to go for Techno brand phones. I would prefer to go for Realme, redmi, or vivo. In the same amount i.e. 8k, you may get better quality product.I'm very disappointed with this product. Also i tried to replace this product but the product wasn't replaced. Very bad service.",0.2011,positive
  The box is clearly stating free bluetooth earphone but received without earphone.,0.4588,positive
  I had ordered for a techno spark 6 air phone on 12 September at amazon.I got my order on 13 September. I found some  problem in its touch after just one day. I reported it at amazon customer care  on 16 September and I was assured to send technician at my home on 19 September but no one came at scheduled time.then I scheduled another technician he assured as that it will be return.then I contact to the customer care they said your time line is ended.Today it became dead inspite of over 80% battery and it started by plugging it in charging.  I am suffering from my defected phone which is causing too much irritation .,-0.9109,negative
  Display is not stable.... Poor quality dispaly....scrambling,0.1695,positive
  Little bit upset during unboxing that they dont provide any headphones along with mobile. They only provide charger.,-0.323,negative
"  Absolutely useless for any marginal Android user. Phone frequently strucks. Apps don't function properly. Amazon sells it with restricted return policy. In which one would never end up succeeding. Many features available in other similar range mobiles are missing. Dual app, scroll screenshot, etc. doesn't exist. Good for Grand parents.",-0.8571,negative
"  This's a worth buying phone but this smartphone's camera is not discent what I expected here is so many add and malvare that is PRe installed app on this phone you should look for other phone.i bought it one month ago ,it's charging adapter is not working . Battery is dissent but charger is rude",-0.5499,negative
  The phone came with the charger that did not work on the first day itself ... I've tried to return but they kept postponing it saying they'll fix it ... They sent another piece ... The new charger and phone they've sent worked for exactly 10 and done.. !! What are phones and chargers for? To work for 10 days ? I shouldn't have ordered in the first place... The worst ever experience.,-0.8535,negative
  It's price must be 6999..Advantages.:1) battery 2) large display.DisAdv: 1) camera quality is not good2) Not at all a good speaker3) Display quality is not enough.4)low storage capacity.. atleast 3gb is needed at this cost..old processor too...(helio p22)(Need Advanced2.3 GHz at this price)5) heavy weight6)Non availability of tempered glass and back cover in the market Anyhow Tecno try it in your next version,0.4404,positive
  WorstBad mobile,0,positive
"  Been using the phone from last 4 days no big issues except in very rare moments because of 2 gb ram the phone lags but it happens almost like none , and for battery it gave me the best battery life which I have used in a smartphone from 96% of charge till 0% it took 17-18 hrs (including really heavy usage) though it does take time to charge maybe 3.5 hrs or soWell if you are a very light gamer or just an average user I would recommend this phone rather than other brands because in the end we just have to use insta , whatsapp and YouTube",0.8888,positive
  Good 😁😁😁except camera is not at par overall good .not superb,0.8887,positive
  One of the worst product...Touch responce is not so good..Charging speed is very slow ( charge 26% in a hour)Front camera is like a 1 mega pixel camera... Only blurry pic can be clicked..And the didn't provide the freebies.The UI is not so good unable to find many setting..Just a waste of money,-0.8329,negative
"  Camera is Average. Good for basic users.Pros:1)  Display2) Baterry (slow charging)Cons1) 2GB Ram2) Amazon UPI is not supported for this OS3) Software issues needs to clear cache and data  for installing new apps in play Store4) Back cover and Tempered glass5) Speaker quality is very low. (Not much difference in normal and loud speaker while calling)You can buy this mobile when you are not able to buy Narzo10A, redmi9 prime and some mobiles in flash sale.",0.6422,positive
"  Hi Team,All mobile company are turning back to Stone age now-a-days,Point 1 :  8000 rs mobile price & only charger included, this days no headsets placed in New Mobile kits( at-least 300 rs headsets would be better)Point 2 : Color difference wary from Amazon website & original piece.Point 3 : Camera quality is  average (3 camera on backside is useless until you have HD photos)Point 4 : Past one week trying hard to get mobile accessories like Mobile Back Case & Temper Glass but Couldn't able to find one since this is 7'inch display mobile, fed upPoint 5 : for 8000 rs good Mobile in low price for kids better than Tab and Received mobile on time deliverThanks to Amazon & Team",0.7391,positive
"  Cannot use amazon pay upi, is this worst mobile, or worst Amazon app developer??",-0.8707,negative
  Nice mobile... New features and fabulous and camera is the best one clear and hd pics,0.9186,positive
"  Bought its at about 7k ....probably best phone anyone could have at this price,brilliant battery smooth screen and camera quality is also ok(as expected not very good)...rest thought 7inch would be difficult to handle but it wasn't the case ...slim design offers a better grip on phoneFace unclock works brilliantly but fingerprint sensor takes a little time about 1sec...rest everything is close to perfectMust buy",0.9042,positive
  Sound is worst.. if u want to buy a tab this one is ok..Otherwise totally loss ur money,-0.7501,negative
  They spy on your data please be aware of this. Its very bad.,-0.3597,negative
  Tempered glass and back cover needed badly help,-0.1027,negative
"  I have been sold a defective items, Amazon not agree to replace the product",-0.5122,negative
"  Cons:1. Large battery makes the phone heavy. So while playing games, hand pains2. If you want to search any old SMS, you cannot.3. No split screen available (Youtube & Whatsapp in same screen). This is a basic android functionality available in my 2 year old phone.4. Phone slightly lags when playing heavy gamesPros:1. Battery easily lasts for 2 day for normal usage (Facebook + whatsapp + browsing)2. Latest Android version (Android 10)",0.6258,positive
"  Very affordable and nice specifications,good looking,nice camera.And see If you are techno music lover like me,then buy this brand.This smartphone is good and sexy.It’s a must buy,If you are looking for a change.This phone is good.",0.9345,positive
"  Have been using Tecno phones in Africa in the past, brand was no surprise for me. What I found about phone after 7 days of use -->1. Successful to catch network in low signal areas . This is special because around the place I live, network signals fluctuate too much. Mike is better than other phones . (Tecno users know this well)2. Selfie camera is better than many branded phones, and that's what needed today for video conferencing. Dual flash gives presentable snaps in evenings and night times.3.  Display does its job if you are not ardent game player. For my son's video tutorials and Youtube it works well.4. Watching movies is pleasurable experience with long battery life at least we are sure of uninterrupted entertainment.5. Speaker is ordinary, but latching on to blue-tooth speakers hides its weakness.6. Lack of quality accessories in market is not so much devil, got a basic flip cover for fall protection.Overall it is moneysaver and also substitute for tablet , what is needed for the day. 5 star and recommended!",0.8702,positive
  The main drawback is ear piece works as loudspeaker and the sound is very annoying. No back cover is supplied with the phone. However with 2gb ram it's performance is very good. It's never lags with Android go edition. Good for multimedia and social networks. No fast charge it took almost 5+ hours to charge from 0 to 100%. I think spark power 2 is better option then this. Pls consider these points before purchasing this piece of crap.,0.4778,positive
"  We encountered with following issues with this phone till now.Screen becomes black while calling or working on the phone or unlocking the phone it became unresponsive.Fingerprint sensor does not work at all. I registered 4 fingerprint of the same finger still it does not detect it.The speaker was sound flattened.Max FPS is told as 30 but it goes max to 3 only.It constamtly Hangs and does not responce.CPU is slow.Because of all above issues, we tested this phone with few performance tools and found it has many other problems likeProcesser graph is continously under the red mark.Here are the few test tools we used to test this phone. Most of the tools are suggested by CNET.AI BenchmarkSeascapeGeekbench 5CPU-Z3DMarkSystem Info DroidFPS Test 3DPiarate Ship BenchmarkAnTuTu BenchmarkPCMarkGFXBench BenchmarkGPU Mark - BenchmarkReal Pi Benchmrk",-0.5499,negative
"  Big mobile for 8000 rs, display, tocuh and speed is good for a 2gb ram mobile. Its more than enough for non gamers. I am using this mobile for watching videos and other uses.",0.4404,positive
"  Super phone(Tecno spark 6 air) its battery life is long lasting for 3 days1 problem is that u forgot to check the size of the diaplay and when it reached it is a big phone so it is not suitable for my pocket so i decided to return it but amazon say that it is a electronic product and there is no return there is only request for a replacement only. Then i give this phone to my wife. Overoll super phone, long battery(6000 mah)big display, super rear camera and rear flash like a DSLR flash, front 8mp super camera and it has only 2gb ram and 32gb storage. I like this phone very much. Only problem is when this phone become complaint what will i do??I offer you to purchase this phone when you are searching for a budget phone under 10000₹Thank you",0.9621,positive
"  i am writing this review after a days use. hope it continues to work as sameThis phone Specification are Minimum but this enough for watching videos and other normal calls and whatsapp and low graphic games. I bought it for my Kid for online classes it works well.7"" inch Screen + Battery backup highlight of the phone.  Looks wise also good.Value  for Money",0.7615,positive
  Very Nice phone with big battery and display.Speaker give poor quality but other thing is OK .we hope that in new update will improve speaker quality.,0.9117,positive
  The real teach ...The mobile is very light weight and very user friendly .All fangunction are very Smooth and easy .I used this last 7 days .Everything is perfect in this budget .Thanks tecooooo,0.9223,positive
"  The camera is awesome with 13mp ,and battery is efficient from full charge a person can play pubg 8-9hours.and good phone under 8000.i liked it's 7notch display  alot. It is good for studying students where you get more feature in affordable money. It is not a gaming phone but still you can play lite weighted games such as pubg lite. I would prefer this a lot",0.9011,positive
"  Very Nice phone camera ,fingerprint reader ,battery photos and overall very best phone in medium value .Value for money . Apart this Thank you amazon I loved your services . Always fulfilment and timely delivered .",0.9631,positive
  Writing this review after 2 weeks use of this phone.. now I m  glad and happy for choosing this phone over other popular brands . At time of ordering I hv so many doubts in my mind about it. But since the day I got in  my hand it given me full satisfaction.. a superb phone in reasonable price.big battery and big display is it's uspBut camera quality is also good.. performance is fantastic.. . So I will suggest to buy it without any doubt.And thanks to amazon and it's associate sellar for such fast delivery.,0.9799,positive
"  Techno Spark meets my ALL Expectations!! A large HD Display with long battery life, I can watch movies, videos for hours. All other functions are Very smooth operating. Cameras are Okay. A bit heavy phone, due to its powerful battery. No lagging, I just love this smart phone got in exchange with my Samsung A10. ♥️♥️♥️👌🌟🌟🌟🌟🌟",0.9873,positive
"  Good Budget Phone for having video call with elder people who may struggle to view video over video calls. with it huge screen size at budget range would be help full. Tecno a sister concern of Infinix mobiles features some amazing for mobile users who want have huge screen size, Marathon battery",0.9001,positive
  This item was amazing and it has a great camera optionals. They gave charging adapter and wire.They gave the back phone case too.And then they gave insert pin. Its touch screen was very very smooth.I loved this phone very much.,0.9238,positive
  Battery is too good.This is best phone in 7999...All things are okk...,0.6369,positive
"  Overall a good phone in this budget.The sound quality is poor.perfromance of battery is good.Camera is decent with other same budget mobiles.Only issues I faced is there is no proper accessories like tempered glass, mobile cases for this mobile.",0.4939,positive
"  * Camera quality :- its ok in this price range.*Thickness is good .*Size 7"" not bad it's comfortable in hand for reading or attend online classes watching videos.Battery backup nice I can used full day online watching videos in single charge.but it's take long time to charge 45% in 2 hours with out use in changing.No back cover and screen guard in local market or online.",0.882,positive
"  Purchased for my mom as she required big fonts  and screen as well good sound.Screen resolution is also good for viewing videos.Very good quality earphone and sound also good, so seamless with calls.Battery capacity huge and runs for 2+ days.Just have to uninstall/ delete some of the inbuilt apps and disable notification which were useless.",0.9042,positive
  This is a magnificent smartphone which comes under only 8K range.It facilitates with a large battery  which can ensure us with a superb performance after charging.It can easily last for two days for normal users like me.It also enhances the camera quality with both rear and front which can provide a outstanding performance in the camera part while I am taking photography with this phone.,0.9612,positive
"  Sound is OK Kind,, not goodCamera OkBut still if you have low budget and want to carry good looking BIG Size mobileTHIS mobile you can buy",0.8143,positive
  Poor sound quality and poor camera quality. It's not a gaming smartphone.,-0.7351,negative
  This is an incredible phone at very least price . I am quit impressed with it's smooth performance . And the mobile do not have any problem if you play freefire because phone master is there to remove the excess capcha .Thanks to Amazon for their wonderful exchange policy.,0.9332,positive
  Super Duper phone by Tecno. Camera Average but battery 2 days in one single full charging. Thank you Amazon for speedy and fast delivery before 3 days from Estimated delivery date.,0.775,positive
"  After using for 10days  I am really happy with the performance of the phone.  7"" screen great for online videos. Screen quality is ok. RAM should be minimum 3gb. Camera quality is ok.  At a price below 8k it is a good choice. Till now no issues.",0.8687,positive
   It's value for money good phone am writing this review after useing phone for more then one weak,0.2815,positive
  Phone looks good. Screen is beautiful to watch. Its big. Too many junk apps which I disabled. Ads can be seen. But watch youtube videos to stop them. Battery is outstanding. Audio quality is not good. For day to day use I didn't find any lag. May be its new that's why. I hope it will run good. The best feature is the freezer option. Do use it.,0.9684,positive
  ये पीस अच्छा है लेकिन सेल्लेर बदमाश है।उसने ब्लूटूथ खुद रख लिया।ज्यो मोबाइल के साथ फ्री हैऔर रेट भी ज्यादा लगाया,0,positive
"  The mobile looks very good and the weight of the mobile is also very low. You take the mobile after seeing the review, at this price, the mobile is very great, you will get absolutely great feeling in the mobile, so my opinion is that if you have to take a good battery sound backup and a mobile  This mobile is the best with a good quality camera.",0.9697,positive
"  Phone looks decent, processor is little bit old but it can handle day today tasks very efficiently, it can handle light games. Display is very nice compared with this price point and the camera too. Phone comes with pre-installed apps which can be disabled.To get better performance disable all the unwanted apps other than Google apps.",0.8917,positive
  Tecno Spark air 6 fone is very good for this price segment. Bettery is most like in this phone but rear camera quality is specifically video recording is very poor. Otherwise phone and price good.,0.4026,positive
  Not value  for money  camera is very bad and laeg  MTK A22 🔋 is good undar 8k not value for money other phone recommend don't purchase lag Device,-0.1101,negative
  Plz don't buy this phone is very very waste and don't purchase on amazon is waste . New phone will be not working,-0.7498,negative
  Display - goodTouch response - goodbattery -  ExcellentRear Camera - GoodFront Camera with dual flash - GoodOverall good product for the normal beginner user with this price segment,0.4404,positive
"  The mobile is worth, we can't expect more in this price, big 7 inch screen and 6000mph battery is ideal for watching videos",0.6486,positive
"  I just want 2 mention it's an awesome, worth every penny , ri8 price ... Everything was amazing regarding this phone... Thanks Amazon nd team members....",0.9287,positive
  The only cons of buying this phone is that back cover is not available online or at local market . And it is also definite that the 7.0 inch phone will be valued zero if got slipped from your hands,0.6124,positive
"  Camera quality is not best but is good for normal photo shot.Front 2 flash light.7 inch dispalay soo awesome felling, and easy do handing .Battery backup is awesome quality.. 6000mAh..really good response.For normal use that phone is value of money.for parents use.",0.9794,positive
  Firstly it's not working properly and even amazon UPI id not work completly. Below 8000 valu for money is battery and large display..it works the old version of amazon and not updating new version..,0.34,positive
  Good in budget segment.camera is OK.battery give full day backup.support only smooth and normal graphics for pung.some lags when I used after 3 hours.if you are looking for best budget segment you can buy it.it only worst 8500.you don't buy even 1rs extra,0.128,positive
"  Phone is good in this price range but it has a problem that's it's charger is not good to charge the mobile it takes a lot of timeBut it is not a big problem in my opinionPhone is good under 8,000.If you want a big display and big battery then you should be buy it.",0.3565,positive
  Very poor,-0.5256,negative
"  This mobile phone is superb for who don't more money  to buy high quality phone. This is really low budget phone  with superb battery, camera, size,etc features. Really I want suggest this phone to buy user who don't have more money or lack of economic conditions.",0.7024,positive
"  mobile is good in mid range, but seller its mrp 10490 with Bluetooth earpiece but seller don't send bluetooth earpiece. And amazon customer care is helpless. Happy with mobile but disappointed by amazon service. Its a loss of  rs. 799 bcoz amazon unable to resolve my issue.",0.8294,positive
"  Good battery backup , camera quality excellent in daylight. So if  you looking for a low budget ph with some features take it. Ex cept the main problem of this ph is it is big for your hand to carry or in your  litttle pocket. Otherwise it is somoth fast for every thing you need।",0.7184,positive
"  Good for viewing Videos and Multimedia as it has good big Screen and big Battery, other than that don't expect much, you can use daily apps effortlessly, multitasking is good enough, high resolution games total no no..",0.7357,positive
  Sound is low and all others are good in condition. Waiting for other fault if anything.It became fault and not working properly.It sees shivering & jerking while it opening.what  a stupid product.I want to return it for either repair or replace at once,-0.7717,negative
  Tecno spark 6air is a good phone .I purchased it for my younger daughter. +2 student. She likes it very much. Using for her online classes. She is very happy.,0.8908,positive
  I think this good phone below 8000. Screen is awesome. Battery is great. But some issues that ram is only 2 GB . 1 GB ram for inbuilt apps. We only got 1 GB. So I hope they indroduce 3Gb ram phone. 32 GB rom is good. Processor want more improvement. Totally this is good phone,0.9765,positive
"  Fingerprint reader ,battery life is good but camera is not the value of money, but product is very good , please buy this phone, only study purpose, not any other purpose, other purpose please buy Tecno phone 8500 rs , thanks for amazon. ,and delivery boy",0.9421,positive
  Mobile speaker was not upto mark when given to service station damaged charging point this is paid product if within 2 months your mobile mother board is damaged what need to do bad product Amazon don't make fool by selling such bad products,-0.8656,negative
